,location,side_a,side_b,territory_name,start_date,start_date2,region,type_of_conflict,S&P_500,NASDAQ,Dow_Jones
0,India,Government of India,GNLA,Garoland,1997-05-29,2012-11-15,3,3,1359.88,2853.13,12588.31
1,India,Government of India,GNLA,Garoland,1997-05-29,2014-07-01,3,3,1985.44,4485.93,17068.26
6,Sudan,Government of Sudan,Republic of South Sudan,Abyei,2011-05-01,2011-05-19,4,3,1333.27,2803.32,12512.04
7,South Sudan,Government of South Sudan,"SSDM/A, SSLM/A",,2011-08-20,2011-08-20,4,3,1123.53,2341.84,10817.65
8,South Sudan,Government of South Sudan,SSLM/A,,2011-08-20,2011-08-20,4,3,1123.53,2341.84,10817.65
9,South Sudan,Government of South Sudan,"SPLM/A - IO, SSDM/A - Cobra Faction",,2011-08-20,2011-08-20,4,3,1123.53,2341.84,10817.65
10,"Tanzania, Uganda",Government of Tanzania,Government of Uganda,Kagera Salient,1978-11-11,1978-11-15,4,2,94.42,113.69,797.73
11,"Afghanistan, Russia (Soviet Union)",Government of Afghanistan,Government of Russia (Soviet Union),,1979-12-27,1979-12-27,"1, 3",2,107.84,150.83,838.91
12,South Sudan,Government of South Sudan,SPLM/A - IO,,2011-08-20,2011-08-20,4,3,1123.53,2341.84,10817.65
13,South Sudan,Government of South Sudan,SPLM/A - IO,,2011-08-20,2011-08-20,4,3,1123.53,2341.84,10817.65
14,South Sudan,Government of South Sudan,SPLM/A - IO,,2011-08-20,2011-08-20,4,3,1123.53,2341.84,10817.65
15,South Sudan,Government of South Sudan,NAS,,2011-08-20,2011-08-20,4,3,1123.53,2341.84,10817.65
16,South Sudan,Government of South Sudan,NAS,,2011-08-20,2011-08-20,4,3,1123.53,2341.84,10817.65
17,Gambia,Government of Gambia,NRC,,1981-07-30,1981-07-30,4,4,130.92,211.63,952.34
18,Libya,Government of Libya,ASL,,2011-02-28,2013-11-29,4,3,1805.81,4059.89,16086.41
19,Libya,Government of Libya,"Forces of the House of Representatives, Zintan Military Council",,2011-02-28,2013-11-29,4,3,1805.81,4059.89,16086.41
20,Libya,Government of Libya,Forces of the House of Representatives,,2011-02-28,2013-11-29,4,3,1805.81,4059.89,16086.41
21,Libya,Government of Libya,"Forces of Khalifa al-Ghawil, Forces of the House of Representatives, PFLL",,2011-02-28,2017-05-18,4,3,2381.73,6083.7,20804.84
22,Somalia,Government of Somalia,ARS/UIC,,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
23,Somalia,Government of Somalia,ARS/UIC,,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
24,Mali,Government of Mali,AQIM,,2009-06-10,2009-06-16,4,3,921.23,1827.47,8539.73
25,Mali,Government of Mali,"Ansar Dine, Military faction (Red Berets)",,2009-06-10,2012-01-24,4,3,1316.33,2816.55,12660.46
26,Somalia,Government of Somalia,"Al-Shabaab, ARS/UIC",,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
27,Somalia,Government of Somalia,"Al-Shabaab, Hizbul Islam",,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
28,Somalia,Government of Somalia,"Al-Shabaab, Hizbul Islam",,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
29,Somalia,Government of Somalia,Al-Shabaab,,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
30,Somalia,Government of Somalia,Al-Shabaab,,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
31,Somalia,Government of Somalia,Al-Shabaab,,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
32,Somalia,Government of Somalia,Al-Shabaab,,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
33,Somalia,Government of Somalia,Al-Shabaab,,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
34,Somalia,Government of Somalia,Al-Shabaab,,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
35,China,Government of China,ETIM,East Turkestan,1990-04-05,2008-08-10,3,3,1296.31,2414.1,11734.32
36,Bangladesh,Government of Bangladesh,"PBCP, PBCP-J",,1994-04-24,2005-02-08,3,3,1205.3,2076.66,10796.01
37,Bangladesh,Government of Bangladesh,PBCP-J,,1994-04-24,2005-02-08,3,3,1205.3,2076.66,10796.01
38,Ethiopia,Government of Ethiopia,IGLF,Hararghe,1991-10-10,1991-10-10,4,3,381.45,519.05,2983.68
39,Myanmar (Burma),Government of Myanmar (Burma),NSCN-K,Nagaland,1991-12-31,1991-12-31,3,3,419.34,592.65,3201.48
40,Myanmar (Burma),Government of Myanmar (Burma),NSCN-K,Nagaland,1991-12-31,1995-04-17,3,3,508.49,823.44,4270.09
41,Myanmar (Burma),Government of Myanmar (Burma),NSCN-K,Nagaland,1991-12-31,2000-02-28,3,3,1333.36,4590.5,9862.12
42,Myanmar (Burma),Government of Myanmar (Burma),NSCN-K,Nagaland,1991-12-31,2000-02-28,3,3,1333.36,4590.5,9862.12
43,Myanmar (Burma),Government of Myanmar (Burma),NSCN-K,Nagaland,1991-12-31,2005-01-31,3,3,1171.36,2035.83,10427.2
44,Myanmar (Burma),Government of Myanmar (Burma),NSCN-K,Nagaland,1991-12-31,2005-01-31,3,3,1171.36,2035.83,10427.2
45,Myanmar (Burma),Government of Myanmar (Burma),NSCN-K,Nagaland,1991-12-31,2005-01-31,3,3,1171.36,2035.83,10427.2
46,Malaysia,Government of Malaysia,Sultanate of Sulu,Sabah,2013-03-01,2013-03-02,3,3,1518.2,3169.74,14089.66
49,Syria,Government of Syria,PYD,Rojava Kurdistan,2011-09-10,2012-09-07,2,3,1437.92,3136.42,13306.64
50,Syria,Government of Syria,PYD,Rojava Kurdistan,2011-09-10,2012-09-07,2,3,1437.92,3136.42,13306.64
51,Syria,Government of Syria,PYD,Rojava Kurdistan,2011-09-10,2012-09-07,2,3,1437.92,3136.42,13306.64
52,Syria,Government of Syria,PYD,Rojava Kurdistan,2011-09-10,2012-09-07,2,3,1437.92,3136.42,13306.64
53,Ukraine,Government of Ukraine,Maidan,,2014-01-22,2014-02-18,1,3,1836.25,4263.41,16103.3
54,Somalia,Government of Somalia,Al-Shabaab,,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
55,Somalia,Government of Somalia,Al-Shabaab,,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
56,Somalia,Government of Somalia,Al-Shabaab,,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
57,Somalia,Government of Somalia,Al-Shabaab,,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
58,"Argentina, United Kingdom",Government of Argentina,Government of United Kingdom,Malvinas/Falkland Islands,1982-04-02,1982-05-02,"1, 5",2,116.44,184.7,848.36
59,"Laos, Thailand",Government of Laos,Government of Thailand,Common Border,1982-06-16,1986-12-31,3,2,246.45,353.2,1927.31
60,"Laos, Thailand",Government of Laos,Government of Thailand,Common Border,1982-06-16,1986-12-31,3,2,246.45,353.2,1927.31
61,"Laos, Thailand",Government of Laos,Government of Thailand,Common Border,1982-06-16,1986-12-31,3,2,246.45,353.2,1927.31
62,"Chad, Nigeria",Government of Chad,Government of Nigeria,Lake Chad,1983-04-18,1983-04-24,4,2,160.42,288.55,1196.3
63,Russia (Soviet Union),Government of Russia (Soviet Union),IS,Islamic State,2015-03-21,2015-08-01,1,3,2103.84,5128.28,17689.86
64,Russia (Soviet Union),Government of Russia (Soviet Union),IS,Islamic State,2015-03-21,2015-08-01,1,3,2103.84,5128.28,17689.86
65,Russia (Soviet Union),Government of Russia (Soviet Union),IS,Islamic State,2015-03-21,2015-08-01,1,3,2103.84,5128.28,17689.86
66,Russia (Soviet Union),Government of Russia (Soviet Union),IS,Islamic State,2015-03-21,2015-08-01,1,3,2103.84,5128.28,17689.86
67,Russia (Soviet Union),Government of Russia (Soviet Union),IS,Islamic State,2015-03-21,2015-08-01,1,3,2103.84,5128.28,17689.86
68,Russia (Soviet Union),Government of Russia (Soviet Union),IS,Islamic State,2015-03-21,2015-08-01,1,3,2103.84,5128.28,17689.86
69,Syria,Government of Syria,IS,Islamic State,2013-03-26,2013-07-25,2,3,1691.65,3613.16,15558.83
70,Syria,Government of Syria,IS,Islamic State,2013-03-26,2013-07-25,2,3,1691.65,3613.16,15558.83
71,"Grenada, United States of America",Government of Grenada,Government of United States of America,,1983-10-25,1983-10-25,5,2,163.37,276.14,1223.48
72,Algeria,Government of Algeria,AQIM,,1985-08-27,1991-12-09,4,4,379.1,536.3,2886.4
73,"Burkina Faso, Mali",Government of Burkina Faso,Government of Mali,Agacher Strip,1985-12-25,1985-12-26,4,2,209.61,322.8,1543.0
74,"Chad, Libya",Government of Chad,Government of Libya,Aozou strip,1987-08-08,1987-08-08,4,2,323.0,443.6,2592.0
75,Burkina Faso,Government of Burkina Faso,JNIM,,1987-10-15,2018-05-22,4,4,2446.3,6301.8857,21865.37
76,Burkina Faso,Government of Burkina Faso,JNIM,,1987-10-15,2018-05-22,4,4,2446.3,6301.8857,21865.37
77,Mali,Government of Mali,FLM,Macina Empire,2015-01-05,2015-06-27,4,3,2101.49,5080.51,17946.68
78,Burkina Faso,Government of Burkina Faso,JNIM,,1987-10-15,2018-05-22,4,4,2446.3,6301.8857,21865.37
79,"Panama, United States of America",Government of Panama,Government of United States of America,,1989-12-16,1989-12-23,5,2,347.42,444.6,2711.39
80,Pakistan,Government of Pakistan,TTP,,1990-02-11,2007-07-15,3,4,1552.5,2707.0,13907.25
81,Pakistan,Government of Pakistan,TTP,,1990-02-11,2007-07-15,3,4,1552.5,2707.0,13907.25
82,Pakistan,Government of Pakistan,TTP,,1990-02-11,2007-07-15,3,4,1552.5,2707.0,13907.25
83,Pakistan,Government of Pakistan,TTP,,1990-02-11,2007-07-15,3,4,1552.5,2707.0,13907.25
84,Mali,Government of Mali,CMA,Azawad,1990-06-28,2014-05-17,4,4,1877.86,4090.59,16491.31
85,Cameroon,Government of Cameroon,IS,Islamic State,2015-03-19,2015-08-11,4,3,2091.54,5048.24,17477.4
86,"Iraq, Kuwait",Government of Iraq,Government of Kuwait,Kuwait,1990-08-02,1990-08-02,2,2,344.86,417.5,2809.65
87,"Iraq, Kuwait",Government of Iraq,Government of Kuwait,Kuwait,1990-08-02,1990-08-02,2,2,344.86,417.5,2809.65
88,Rwanda,Government of Rwanda,FPR,,1990-10-01,1990-10-03,4,4,311.5,347.4,2510.64
89,Rwanda,Government of Rwanda,FDLR,,1990-10-01,2009-02-16,4,4,826.84,1534.36,7850.41
90,Rwanda,Government of Rwanda,FDLR,,1990-10-01,2009-02-16,4,4,826.84,1534.36,7850.41
91,Rwanda,Government of Rwanda,FDLR,,1990-10-01,2009-02-16,4,4,826.84,1534.36,7850.41
92,Rwanda,Government of Rwanda,FDLR,,1990-10-01,2009-02-16,4,4,826.84,1534.36,7850.41
93,Chad,Government of Chad,IS,Islamic State,2015-05-27,2015-05-27,4,3,2107.39,5070.03,18010.68
94,Chad,Government of Chad,IS,Islamic State,2015-05-27,2017-05-05,4,3,2399.29,6100.76,21006.94
95,Chad,Government of Chad,IS,Islamic State,2015-05-27,2017-05-05,4,3,2399.29,6100.76,21006.94
96,Chad,Government of Chad,IS,Islamic State,2015-05-27,2017-05-05,4,3,2399.29,6100.76,21006.94
97,Chad,Government of Chad,IS,Islamic State,2015-05-27,2017-05-05,4,3,2399.29,6100.76,21006.94
98,Rwanda,Government of Rwanda,FDLR,,1990-10-01,2016-03-29,4,4,2072.78,4914.54,17792.75
99,Rwanda,Government of Rwanda,FDLR,,1990-10-01,2018-12-15,4,4,2446.3,6301.8857,21865.37
100,Rwanda,Government of Rwanda,"CNRD, FDLR, FDLR-RUD",,1990-10-01,2018-12-15,4,4,2446.3,6301.8857,21865.37
101,Rwanda,Government of Rwanda,"CNRD, FDLR, FDLR-RUD",,1990-10-01,2018-12-15,4,4,2446.3,6301.8857,21865.37
102,Sierra Leone,Government of Sierra Leone,RUF,,1991-03-23,1991-04-01,4,4,375.36,495.79,2896.78
103,Sierra Leone,Government of Sierra Leone,RUF,,1991-03-23,1991-04-01,4,4,375.36,495.79,2896.78
104,Yemen (North Yemen),Government of Yemen (North Yemen),IS,Islamic State,2015-03-20,2015-03-20,2,3,2108.1,5026.42,18127.65
105,Yemen (North Yemen),Government of Yemen (North Yemen),IS,Islamic State,2015-03-20,2017-05-18,2,3,2381.73,6083.7,20804.84
106,Yemen (North Yemen),Government of Yemen (North Yemen),IS,Islamic State,2015-03-20,2020-08-20,2,3,2446.3,6301.8857,21865.37
107,Kenya,Government of Kenya,Al-Shabaab,Northeastern Province and Coast,2015-03-13,2015-07-13,4,3,2076.62,4997.7,17760.41
108,Kenya,Government of Kenya,Al-Shabaab,Northeastern Province and Coast,2015-03-13,2015-07-13,4,3,2076.62,4997.7,17760.41
109,Kenya,Government of Kenya,Al-Shabaab,Northeastern Province and Coast,2015-03-13,2015-07-13,4,3,2076.62,4997.7,17760.41
110,Kenya,Government of Kenya,Al-Shabaab,Northeastern Province and Coast,2015-03-13,2015-07-13,4,3,2076.62,4997.7,17760.41
111,Sierra Leone,Government of Sierra Leone,RUF,,1991-03-23,1991-04-01,4,4,375.36,495.79,2896.78
112,Sierra Leone,Government of Sierra Leone,RUF,,1991-03-23,1991-04-01,4,4,375.36,495.79,2896.78
113,Egypt,Government of Egypt,IS,Islamic State,2014-11-16,2015-01-29,2,3,1994.99,4635.24,17164.95
114,Egypt,Government of Egypt,IS,Islamic State,2014-11-16,2015-01-29,2,3,1994.99,4635.24,17164.95
115,Egypt,Government of Egypt,IS,Islamic State,2014-11-16,2015-01-29,2,3,1994.99,4635.24,17164.95
116,Egypt,Government of Egypt,IS,Islamic State,2014-11-16,2015-01-29,2,3,1994.99,4635.24,17164.95
117,Egypt,Government of Egypt,IS,Islamic State,2014-11-16,2015-01-29,2,3,1994.99,4635.24,17164.95
118,Egypt,Government of Egypt,IS,Islamic State,2014-11-16,2015-01-29,2,3,1994.99,4635.24,17164.95
119,India,Government of India,UNLFW,Western South East Asia,2015-04-19,2015-06-04,3,3,2092.83,5068.46,17849.46
120,India,Government of India,UNLFW,Western South East Asia,2015-04-19,2015-06-04,3,3,2092.83,5068.46,17849.46
121,India,Government of India,UNLFW,Western South East Asia,2015-04-19,2015-06-04,3,3,2092.83,5068.46,17849.46
122,India,Government of India,UNLFW,Western South East Asia,2015-04-19,2015-06-04,3,3,2092.83,5068.46,17849.46
123,Bangladesh,Government of Bangladesh,IS,Islamic State,2015-11-04,2016-08-29,3,3,2169.04,5218.92,18395.4
124,Bangladesh,Government of Bangladesh,IS,Islamic State,2015-11-04,2016-08-29,3,3,2169.04,5218.92,18395.4
125,Lebanon,Government of Lebanon,IS,Islamic State,2014-06-25,2014-08-03,2,3,1925.15,4352.64,16493.37
126,Lebanon,Government of Lebanon,IS,Islamic State,2014-06-25,2014-08-03,2,3,1925.15,4352.64,16493.37
127,Lebanon,Government of Lebanon,IS,Islamic State,2014-06-25,2017-08-19,2,3,2425.55,6216.53,21674.51
128,Sierra Leone,Government of Sierra Leone,RUF,,1991-03-23,1991-04-01,4,4,375.36,495.79,2896.78
129,Libya,Government of Libya,IS,Islamic State,2015-03-14,2015-03-18,4,3,2108.1,5026.42,18127.65
130,Sierra Leone,Government of Sierra Leone,RUF,,1991-03-23,1991-04-01,4,4,375.36,495.79,2896.78
131,Sierra Leone,Government of Sierra Leone,"AFRC, Kamajors, RUF",,1991-03-23,1991-04-01,4,4,375.36,495.79,2896.78
132,Sierra Leone,Government of Sierra Leone,"AFRC, Kamajors, RUF",,1991-03-23,1991-04-01,4,4,375.36,495.79,2896.78
133,Sierra Leone,Government of Sierra Leone,"AFRC, RUF",,1991-03-23,1991-04-01,4,4,375.36,495.79,2896.78
134,Algeria,Government of Algeria,IS,Islamic State,2014-10-10,2015-05-20,4,3,2126.06,5089.36,18232.02
135,Syria,Government of Syria,SDF,Rojava Kurdistan,2015-12-06,2016-04-23,2,3,2091.58,4906.23,18003.75
136,Syria,Government of Syria,SDF,Rojava Kurdistan,2015-12-06,2018-09-08,2,3,2446.3,6301.8857,21865.37
137,Sierra Leone,Government of Sierra Leone,"RUF, WSB",,1991-03-23,1991-04-01,4,4,375.36,495.79,2896.78
138,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,1991-12-30,1,4,406.46,565.71,3101.52
139,Jordan,Government of Jordan,IS,Islamic State,2016-03-02,2016-12-18,2,3,2258.07,5437.16,19843.41
140,Turkey,Government of Turkey,IS,Islamic State,2015-07-23,2015-11-14,2,3,2023.04,4927.88,17245.24
141,Turkey,Government of Turkey,IS,Islamic State,2015-07-23,2015-11-14,2,3,2023.04,4927.88,17245.24
142,Turkey,Government of Turkey,IS,Islamic State,2015-07-23,2015-11-14,2,3,2023.04,4927.88,17245.24
143,Pakistan,Government of Pakistan,IS,Islamic State,2016-02-12,2016-10-24,3,3,2141.16,5257.4,18145.71
144,Pakistan,Government of Pakistan,IS,Islamic State,2016-02-12,2016-10-24,3,3,2141.16,5257.4,18145.71
145,Pakistan,Government of Pakistan,IS,Islamic State,2016-02-12,2016-10-24,3,3,2141.16,5257.4,18145.71
146,Pakistan,Government of Pakistan,IS,Islamic State,2016-02-12,2016-10-24,3,3,2141.16,5257.4,18145.71
147,Somalia,Government of Somalia,Republic of Somaliland,Somaliland,2016-07-18,2018-05-15,4,3,2446.3,6301.8857,21865.37
148,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,1991-12-30,1,4,406.46,565.71,3101.52
149,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,1991-12-30,1,4,406.46,565.71,3101.52
150,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,1997-04-20,1,4,766.34,1222.57,6703.55
151,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,1997-04-20,1,4,766.34,1222.57,6703.55
156,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,2005-12-05,1,4,1265.08,2273.37,10877.51
157,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,2008-12-31,1,4,931.8,1632.21,9034.69
158,Iran,Government of Iran,IS,Islamic State,2016-08-15,2017-06-11,2,3,2431.77,6207.92,21271.97
159,Philippines,Government of Philippines,IS,Islamic State,2016-06-01,2016-06-01,3,3,2099.13,4942.52,17807.06
160,Philippines,Government of Philippines,IS,Islamic State,2016-06-01,2016-06-01,3,3,2099.13,4942.52,17807.06
161,Philippines,Government of Philippines,IS,Islamic State,2016-06-01,2016-06-01,3,3,2099.13,4942.52,17807.06
162,Philippines,Government of Philippines,IS,Islamic State,2016-06-01,2016-06-01,3,3,2099.13,4942.52,17807.06
163,Philippines,Government of Philippines,IS,Islamic State,2016-06-01,2016-06-01,3,3,2099.13,4942.52,17807.06
164,Tunisia,Government of Tunisia,IS,Islamic State,2015-03-18,2016-03-07,4,3,1999.99,4717.02,17006.77
165,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,2012-09-25,1,4,1440.67,3116.23,13437.13
166,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,2014-08-01,1,4,1925.15,4352.64,16493.37
167,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,2014-08-01,1,4,1925.15,4352.64,16493.37
168,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,2014-08-01,1,4,1925.15,4352.64,16493.37
169,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,2014-08-01,1,4,1925.15,4352.64,16493.37
1403,Guinea,Government of Guinea,RFDG,,2000-09-01,2000-09-17,4,3,1465.81,3835.23,10927.0
1404,Guinea,Government of Guinea,RFDG,,2000-09-01,2000-09-17,4,3,1465.81,3835.23,10927.0
1642,Eritrea,Government of Eritrea,EIJM - AS,,1993-12-16,1997-06-30,4,3,916.92,1467.61,7895.81
1643,Eritrea,Government of Eritrea,EIJM - AS,,1993-12-16,1999-04-04,4,3,1293.72,2493.37,9832.51
1644,Eritrea,Government of Eritrea,EIJM - AS,,1993-12-16,2003-07-17,4,3,993.32,1708.5,9188.15
1738,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,3,95.1,105.05,831.17
1739,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,3,95.1,105.05,831.17
1740,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,3,95.1,105.05,831.17
1741,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,3,95.1,105.05,831.17
1742,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,3,95.1,105.05,831.17
1743,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,3,95.1,105.05,831.17
1744,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,3,95.1,105.05,831.17
1745,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,3,95.1,105.05,831.17
1746,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,4,95.1,105.05,831.17
1747,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,4,95.1,105.05,831.17
1748,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,4,95.1,105.05,831.17
1749,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,4,95.1,105.05,831.17
1750,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,4,95.1,105.05,831.17
1751,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,4,95.1,105.05,831.17
1752,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,3,95.1,105.05,831.17
