date,S&P_500,NASDAQ,Dow_Jones
2001-07-19,1213.25,2041.63,10585.14
2001-07-20,1210.85,2029.37,10576.65
2001-07-21,1207.24,2022.27,10528.12
2001-07-22,1208.02,2027.37,10512.05
2001-07-23,1207.52,2027.3,10492.47
2001-07-24,1210.84,2034.7,10524.82
2001-07-25,1210.72,2037.98,10497.05
2001-07-26,1207.21,2034.0,10435.6
2001-07-27,1205.82,2029.07,10416.67
2001-07-28,1204.5,2031.15,10405.87
2001-07-29,1202.17,2026.14,10389.76
2001-07-30,1195.68,1999.08,10330.96
2001-07-31,1192.92,1990.42,10319.35
2001-08-01,1192.57,1975.63,10389.06
2001-08-02,1192.57,1975.63,10389.06
2001-08-03,1192.57,1975.63,10389.06
2001-08-04,1211.21,2052.05,10500.23
2001-08-05,1189.62,1966.07,10374.06
2001-08-06,1188.43,1962.49,10362.69
2001-08-07,1189.17,1964.12,10371.57
2001-08-08,1191.47,1965.86,10406.91
2001-08-09,1189.98,1959.03,10401.68
2001-08-10,1190.16,1956.47,10416.25
2001-08-11,1190.26,1956.56,10417.69
2001-08-12,1188.47,1952.7,10399.98
2001-08-13,1188.41,1951.6,10401.62
2001-08-14,1188.05,1948.67,10402.42
2001-08-15,1183.09,1934.43,10359.43
2001-08-16,1182.42,1929.82,10359.06
2001-08-17,1182.42,1928.96,10360.94
2001-08-18,1182.31,1928.17,10361.08
2001-08-19,1181.84,1924.6,10361.7
2001-08-20,1181.07,1919.19,10361.47
2001-08-21,1175.85,1904.69,10315.07
2001-08-22,1181.19,1914.52,10370.67
2001-08-23,1185.05,1921.28,10413.22
2001-08-24,1184.93,1916.8,10423.17
2001-08-25,1177.87,1903.07,10353.93
2001-08-26,1172.81,1898.01,10289.43
2001-08-27,1164.91,1878.21,10226.57
2001-08-28,1159.34,1871.31,10171.34
2001-08-29,1151.34,1852.98,10099.38
2001-08-30,1141.42,1824.22,10012.65
2001-08-31,1133.58,1805.43,9949.75
2001-09-01,1001.1,1507.82,8576.09
2001-09-02,1001.1,1507.82,8576.09
2001-09-03,1001.1,1507.82,8576.09
2001-09-04,1001.1,1507.82,8576.09
2001-09-05,998.22,1499.83,8551.39
2001-09-06,998.22,1499.83,8551.39
2001-09-07,998.22,1499.83,8551.39
2001-09-08,998.04,1498.71,8551.44
2001-09-09,998.03,1498.24,8553.07
2001-09-10,996.97,1495.46,8547.5
2001-09-11,1083.44,1682.57,9575.83
2001-09-12,992.73,1486.08,8505.12
2001-09-13,992.99,1487.36,8506.35
2001-09-14,992.99,1487.36,8506.35
2001-09-15,985.99,1471.09,8440.57
2001-09-16,981.09,1459.19,8390.14
2001-09-17,980.09,1457.27,8378.04
2001-09-18,978.84,1454.47,8366.96
2001-09-19,978.84,1454.47,8366.96
2001-09-20,973.1,1440.6,8310.03
2001-09-21,965.8,1423.19,8235.81
2001-09-22,971.12,1436.64,8283.47
2001-09-23,976.89,1449.97,8340.31
2001-09-24,980.12,1456.77,8375.68
2001-09-25,980.24,1458.63,8372.72
2001-09-26,981.89,1466.28,8377.63
2001-09-27,981.97,1463.54,8389.83
2001-09-28,985.96,1477.33,8428.97
2001-09-29,986.7,1478.91,8435.67
2001-09-30,985.97,1476.19,8426.79
2001-10-01,1091.98,1703.71,9348.86
2001-10-02,1091.98,1703.71,9348.86
2001-10-03,1092.35,1704.12,9351.91
2001-10-04,1092.35,1704.12,9351.91
2001-10-05,1092.4,1703.69,9352.12
2001-10-06,1092.4,1703.69,9352.12
2001-10-07,1071.38,1605.3,9119.77
2001-10-08,1092.69,1703.83,9354.78
2001-10-09,1092.69,1703.83,9354.78
2001-10-10,1093.5,1707.75,9363.75
2001-10-11,1093.7,1708.73,9366.0
2001-10-12,1091.65,1703.4,9344.16
2001-10-13,1089.11,1698.91,9324.55
2001-10-14,1087.11,1695.38,9309.15
2001-10-15,1083.29,1688.64,9279.74
2001-10-16,1080.57,1683.83,9258.73
2001-10-17,1078.39,1679.97,9241.92
2001-10-18,1075.84,1675.48,9222.32
2001-10-19,1073.48,1671.31,9204.11
2001-10-20,1077.53,1684.0,9248.45
2001-10-21,1079.87,1692.26,9276.28
2001-10-22,1087.53,1715.23,9360.09
2001-10-23,1093.44,1733.78,9424.9
2001-10-24,1098.25,1747.98,9475.51
2001-10-25,1103.05,1764.08,9528.12
2001-10-26,1104.61,1768.96,9545.17
2001-10-27,1106.19,1773.74,9559.8
2001-10-28,1107.56,1780.92,9574.97
2001-10-29,1107.48,1781.41,9572.33
2001-10-30,1107.4,1781.89,9569.68
2001-10-31,1107.28,1779.39,9571.65
2001-11-01,1087.2,1745.73,9323.54
2001-11-02,1087.2,1745.73,9323.54
2001-11-03,1092.83,1759.8,9371.9
2001-11-04,1096.8,1769.73,9406.03
2001-11-05,1102.76,1784.62,9457.24
2001-11-06,1109.05,1800.35,9511.28
2001-11-07,1111.7,1806.97,9534.04
2001-11-08,1117.66,1821.86,9585.24
2001-11-09,1120.31,1828.48,9608.0
2001-11-10,1121.86,1837.83,9634.81
2001-11-11,1123.34,1851.46,9667.16
2001-11-12,1124.4,1865.64,9698.35
2001-11-13,1126.64,1883.33,9743.09
2001-11-14,1129.03,1900.47,9788.39
2001-11-15,1133.67,1901.24,9827.89
2001-11-16,1138.65,1898.58,9866.99
2001-11-17,1141.22,1899.6,9887.39
2001-11-18,1142.74,1900.2,9899.44
2001-11-19,1143.79,1900.61,9907.79
2001-11-20,1145.66,1901.35,9922.62
2001-11-21,1146.95,1901.86,9932.82
2001-11-22,1149.17,1902.74,9950.44
2001-11-23,1150.34,1903.2,9959.71
2001-11-24,1148.46,1907.65,9942.89
2001-11-25,1147.48,1913.45,9935.23
2001-11-26,1146.03,1916.8,9922.73
2001-11-27,1146.17,1926.05,9925.56
2001-11-28,1144.97,1935.56,9918.47
2001-11-29,1142.48,1932.94,9888.06
2001-11-30,1139.45,1930.58,9851.56
2001-12-01,1098.68,1812.11,9479.58
2001-12-02,1098.68,1812.11,9479.58
2001-12-03,1101.71,1822.05,9509.24
2001-12-04,1104.42,1831.17,9536.06
2001-12-05,1108.8,1845.66,9579.13
2001-12-06,1113.47,1858.5,9620.99
2001-12-07,1115.54,1867.2,9644.15
2001-12-08,1119.59,1880.87,9684.38
2001-12-09,1121.58,1885.84,9701.45
